problem,m,iterations,runtime,grad_norm,converged,exit_code
powell_singular,14,43,0.0032203197479248047,1.4548428262357762e-06,True,Convergence
powell_singular,15,41,0.003252744674682617,2.216327496591715e-06,True,Convergence
powell_singular,16,43,0.0034227371215820312,3.900742549722738e-07,True,Convergence
powell_singular,17,42,0.003520488739013672,1.1192052194417635e-06,True,Convergence
powell_singular,18,43,0.0036699771881103516,9.254545601033336e-07,True,Convergence
powell_singular,19,43,0.004147052764892578,1.8263148137641105e-07,True,Convergence
powell_singular,20,42,0.0037636756896972656,4.591707995897307e-06,True,Convergence
powell_singular,21,42,0.0038275718688964844,1.734898392563805e-07,True,Convergence
powell_singular,22,39,0.0036416053771972656,4.563180036988039e-05,True,Convergence
powell_singular,23,50,0.005012989044189453,1.2186632021743948e-06,True,Convergence
powell_singular,24,50,0.005007505416870117,3.1965100578113704e-07,True,Convergence
powell_singular,25,51,0.005362272262573242,1.2733175298828122e-06,True,Convergence
logistic_regression_20d,1,31,0.0019409656524658203,5.667795813719822e-06,True,Convergence
logistic_regression_20d,2,30,0.0017130374908447266,3.628892979251911e-06,True,Convergence
logistic_regression_20d,3,28,0.0016241073608398438,1.3721330763428786e-06,True,Convergence
logistic_regression_20d,4,26,0.0015780925750732422,2.181269997576327e-06,True,Convergence
logistic_regression_20d,5,28,0.0017626285552978516,1.0878081530164992e-06,True,Convergence
logistic_regression_20d,6,26,0.0016987323760986328,1.2016988720817999e-06,True,Convergence
logistic_regression_20d,7,25,0.0018038749694824219,1.3782821946318313e-06,True,Convergence
logistic_regression_20d,8,23,0.001689910888671875,2.0579094910839033e-06,True,Convergence
logistic_regression_20d,9,23,0.0017795562744140625,1.0770746339429129e-06,True,Convergence
logistic_regression_20d,10,24,0.0018916130065917969,7.341038382557405e-07,True,Convergence
logistic_regression_20d,11,24,0.0019614696502685547,1.6707154730159073e-06,True,Convergence
logistic_regression_20d,12,22,0.0017719268798828125,2.3289670847483575e-06,True,Convergence
logistic_regression_20d,13,23,0.0019371509552001953,9.71515638420376e-07,True,Convergence
logistic_regression_20d,14,22,0.0018341541290283203,3.1488514787084575e-06,True,Convergence
logistic_regression_20d,15,22,0.0018877983093261719,1.3136559941252934e-06,True,Convergence
logistic_regression_20d,16,22,0.002033710479736328,5.250964382829297e-07,True,Convergence
logistic_regression_20d,17,22,0.0019872188568115234,4.3843532705713443e-07,True,Convergence
logistic_regression_20d,18,22,0.0019116401672363281,5.594873665301265e-07,True,Convergence
logistic_regression_20d,19,22,0.0019519329071044922,2.0766134664617108e-07,True,Convergence
logistic_regression_20d,20,22,0.0025110244750976562,2.029464415127346e-07,True,Convergence
logistic_regression_20d,21,22,0.002658367156982422,2.0067769030476013e-07,True,Convergence
logistic_regression_20d,22,22,0.0021810531616210938,2.0067769030476013e-07,True,Convergence
logistic_regression_20d,23,22,0.0019528865814208984,2.0067769030476013e-07,True,Convergence
logistic_regression_20d,24,22,0.002045154571533203,2.0067769030476013e-07,True,Convergence
logistic_regression_20d,25,22,0.0019571781158447266,2.0067769030476013e-07,True,Convergence
exp_fitting,1,73,0.005903005599975586,4.1334401365872005e-06,True,Convergence
exp_fitting,2,29,0.0024063587188720703,1.2451520160991152e-05,True,Convergence
exp_fitting,3,17,0.0015361309051513672,1.7721121775645203e-05,True,Convergence
exp_fitting,4,24,0.002198457717895508,2.9307852240256097e-08,True,Convergence
exp_fitting,5,23,0.0019497871398925781,2.2347928202672122e-07,True,Convergence
exp_fitting,6,23,0.0020215511322021484,1.9626656203235203e-08,True,Convergence
exp_fitting,7,22,0.0020265579223632812,2.2166980940882526e-07,True,Convergence
exp_fitting,8,22,0.002090930938720703,5.780122553931472e-07,True,Convergence
exp_fitting,9,22,0.002092599868774414,1.51343992136113e-07,True,Convergence
exp_fitting,10,22,0.002192974090576172,1.9046577852487647e-08,True,Convergence
exp_fitting,11,21,0.0021796226501464844,8.477188203857022e-08,True,Convergence
exp_fitting,12,21,0.002149820327758789,1.2768821565169914e-07,True,Convergence
exp_fitting,13,21,0.0022840499877929688,2.6934677031174616e-08,True,Convergence
exp_fitting,14,21,0.002259969711303711,1.651038900218593e-08,True,Convergence
exp_fitting,15,21,0.002270936965942383,2.518707137224612e-08,True,Convergence
exp_fitting,16,21,0.0022933483123779297,5.033552980034917e-09,True,Convergence
exp_fitting,17,21,0.0022809505462646484,1.4481974183525568e-08,True,Convergence
exp_fitting,18,21,0.0023276805877685547,1.4293169929827505e-08,True,Convergence
exp_fitting,19,21,0.0023298263549804688,1.3732339321634182e-08,True,Convergence
exp_fitting,20,21,0.0022788047790527344,1.3689808434870244e-08,True,Convergence
exp_fitting,21,21,0.0023179054260253906,1.3689808434870244e-08,True,Convergence
exp_fitting,22,21,0.0023229122161865234,1.3689808434870244e-08,True,Convergence
exp_fitting,23,21,0.0023193359375,1.3689808434870244e-08,True,Convergence
exp_fitting,24,21,0.0022988319396972656,1.3689808434870244e-08,True,Convergence
exp_fitting,25,21,0.0023031234741210938,1.3689808434870244e-08,True,Convergence
random_multibasin,1,15,0.0009920597076416016,2.412501448631332e-06,True,Convergence
random_multibasin,2,10,0.0006117820739746094,1.055087376807259e-06,True,Convergence
random_multibasin,3,9,0.0005872249603271484,1.8658872447878163e-09,True,Convergence
random_multibasin,4,9,0.0005657672882080078,3.0222885192796904e-10,True,Convergence
random_multibasin,5,9,0.0005929470062255859,3.993054240561782e-11,True,Convergence
random_multibasin,6,9,0.0005960464477539062,5.0040636479526974e-11,True,Convergence
